time.train,time.disag,algorithms,frequency

60.3588960171,0.309406995773,FHMM,1
61.1242349148,0.292583942413,FHMM,1
61.5717251301,0.297770023346,FHMM,1
61.6308701038,0.294857025146,FHMM,1
60.9820261002,0.295635938644,FHMM,1
60.8664069176,0.292727947235,FHMM,1
61.1514890194,0.294003009796,FHMM,1
62.2664020061,0.295081138611,FHMM,1
61.598856926,0.299636125565,FHMM,1
60.735378027,0.309725046158,FHMM,1
62.0961539745,0.313847064972,FHMM,1
60.5957679749,0.291507005692,FHMM,1
61.0843269825,0.314512968063,FHMM,1
61.2937209606,0.309770107269,FHMM,1
61.0684840679,0.293393850327,FHMM,1
61.1438529491,0.30690908432,FHMM,1
61.8891000748,0.297816038132,FHMM,1
60.5914859772,0.302217006683,FHMM,1
60.8565869331,0.299549102783,FHMM,1
60.8347461224,0.303429841995,FHMM,1
61.1142539978,0.291290998459,FHMM,1
60.7887730598,0.292914867401,FHMM,1
61.2400541306,0.294631958008,FHMM,1
61.0487930775,0.292975902557,FHMM,1
61.277518034,0.291824817657,FHMM,1
60.7756619453,0.293878793716,FHMM,1
60.939604044,0.291447877884,FHMM,1
61.0528972149,0.306949138641,FHMM,1
61.344135046,0.315019845963,FHMM,1
60.7709941864,0.305686950684,FHMM,1
1.95361876488,1.05011606216,CO,1
1.9180560112,1.03882884979,CO,1
1.90337991714,1.03148198128,CO,1
1.90968298912,1.02505493164,CO,1
1.90548586845,1.0406088829,CO,1
1.90383386612,1.04968309402,CO,1
1.91403079033,1.043364048,CO,1
1.90937399864,1.04321098328,CO,1
1.90765690804,1.03848004341,CO,1
1.91351604462,1.04231882095,CO,1
1.91112589836,1.03605103493,CO,1
1.92859220505,1.04490184784,CO,1
1.91143703461,1.05555200577,CO,1
1.9267718792,1.04450511932,CO,1
1.90843892097,1.04092502594,CO,1
1.90768313408,1.04737591743,CO,1
1.8839070797,1.02991604805,CO,1
1.90907716751,1.17606806755,CO,1
1.93418002129,1.08164000511,CO,1
1.93093299866,1.07154297829,CO,1
1.91415405273,1.04245519638,CO,1
1.8958530426,1.03779578209,CO,1
1.90324783325,1.04600214958,CO,1
1.90141987801,1.03198313713,CO,1
1.9060921669,1.03044605255,CO,1
1.90285301208,1.03986310959,CO,1
1.92305397987,1.04355597496,CO,1
1.92267417908,1.06316399574,CO,1
1.93085694313,1.0541138649,CO,1
1.91620802879,1.03798913956,CO,1
36.2030510902,0.296608924866,FHMM,2
36.2937259674,0.293062925339,FHMM,2
36.3447420597,0.298105955124,FHMM,2
36.0667760372,0.291729927063,FHMM,2
36.1370558739,0.301275014877,FHMM,2
35.9810431004,0.291027069092,FHMM,2
35.903042078,0.291903018951,FHMM,2
36.5169630051,0.293143987656,FHMM,2
36.4201321602,0.292301893234,FHMM,2
36.0664429665,0.300633192062,FHMM,2
35.9086589813,0.29790687561,FHMM,2
35.8746950626,0.293787002563,FHMM,2
36.1090300083,0.309852838516,FHMM,2
36.6888318062,0.301038980484,FHMM,2
36.1746520996,0.290348052979,FHMM,2
36.0068600178,0.301709890366,FHMM,2
35.679473877,0.304441928864,FHMM,2
35.9746758938,0.292287111282,FHMM,2
35.9155650139,0.291086912155,FHMM,2
35.8659539223,0.30409693718,FHMM,2
36.3217709064,0.300040960312,FHMM,2
36.3522450924,0.297554016113,FHMM,2
36.6139490604,0.304996967316,FHMM,2
36.2901649475,0.291769981384,FHMM,2
36.0442931652,0.296393871307,FHMM,2
36.4784009457,0.291354894638,FHMM,2
36.0653390884,0.300678014755,FHMM,2
36.1350979805,0.297569990158,FHMM,2
36.289937973,0.297029972076,FHMM,2
36.0041790009,0.297506093979,FHMM,2
1.64856696129,0.804157018661,CO,2
1.6354868412,0.792882204056,CO,2
1.62300300598,0.804738998413,CO,2
1.61910605431,0.798933982849,CO,2
1.66314697266,0.803164958954,CO,2
1.62492513657,0.794058799744,CO,2
1.63318395615,0.799514055252,CO,2
1.63537096977,0.796524047852,CO,2
1.61415600777,0.794775009155,CO,2
1.62035799026,0.80378484726,CO,2
1.6428809166,0.805830955505,CO,2
1.63644504547,0.819343090057,CO,2
1.62235713005,0.810736894608,CO,2
1.63621807098,0.794713973999,CO,2
1.63250517845,0.804599046707,CO,2
1.63041710854,0.829706907272,CO,2
1.62464618683,0.816550970078,CO,2
1.63829493523,0.797504901886,CO,2
1.64435100555,0.812934875488,CO,2
1.63362503052,0.801918983459,CO,2
1.71498703957,0.798787117004,CO,2
1.63868188858,0.799952030182,CO,2
1.63556694984,0.822740077972,CO,2
1.64387917519,0.799413919449,CO,2
1.64958405495,0.833778858185,CO,2
1.65344905853,0.831789016724,CO,2
1.63638305664,0.850739002228,CO,2
1.63581705093,0.81797504425,CO,2
1.62009906769,0.821184873581,CO,2
1.65475392342,0.867653131485,CO,2
32.6071949005,0.427227020264,FHMM,4
32.7174191475,0.424118041992,FHMM,4
32.9207749367,0.425715208054,FHMM,4
32.7731029987,0.426296949387,FHMM,4
32.9462049007,0.42906999588,FHMM,4
32.5846059322,0.42471408844,FHMM,4
32.5977039337,0.423538208008,FHMM,4
32.6531660557,0.423440933228,FHMM,4
32.7780001163,0.423372983932,FHMM,4
32.6211819649,0.424522161484,FHMM,4
32.6312391758,0.426404953003,FHMM,4
32.9041290283,0.423925876617,FHMM,4
32.8092699051,0.423404932022,FHMM,4
32.8371779919,0.425212144852,FHMM,4
32.7610669136,0.421733140945,FHMM,4
32.9172279835,0.422358989716,FHMM,4
33.1097710133,0.435132026672,FHMM,4
32.5122539997,0.423686981201,FHMM,4
32.7538599968,0.423991918564,FHMM,4
32.8641149998,0.424809932709,FHMM,4
32.9338579178,0.424097776413,FHMM,4
32.8236801624,0.42231798172,FHMM,4
32.6453649998,0.423191785812,FHMM,4
32.6740479469,0.422353982925,FHMM,4
32.7592880726,0.424955129623,FHMM,4
32.9665119648,0.423202037811,FHMM,4
32.8108580112,0.425156831741,FHMM,4
32.8021621704,0.424081087112,FHMM,4
32.8716089725,0.435572862625,FHMM,4
32.9130060673,0.423548936844,FHMM,4
2.1616590023,0.665855169296,CO,4
2.10679602623,0.632261991501,CO,4
2.1431350708,0.607642889023,CO,4
2.12498903275,0.616541862488,CO,4
2.12852692604,0.605618000031,CO,4
2.10588693619,0.637078046799,CO,4
2.14633202553,0.612556934357,CO,4
2.11274719238,0.605838060379,CO,4
2.10947012901,0.658767938614,CO,4
2.13444304466,0.609954118729,CO,4
2.11653494835,0.609306097031,CO,4
2.12138295174,0.652484893799,CO,4
2.14289212227,0.675756931305,CO,4
2.15287303925,0.634598970413,CO,4
2.12305998802,0.623379945755,CO,4
2.11924409866,0.608012914658,CO,4
2.13142800331,0.671020030975,CO,4
2.16249990463,0.622000932693,CO,4
2.15827083588,0.626030921936,CO,4
2.1406891346,0.603428125381,CO,4
2.14965987206,0.636070966721,CO,4
2.12861990929,0.642754077911,CO,4
2.11146402359,0.606164932251,CO,4
2.11439990997,0.631464004517,CO,4
2.11528801918,0.629794836044,CO,4
2.11154818535,0.606914997101,CO,4
2.15861201286,0.630676031113,CO,4
2.1383330822,0.635051012039,CO,4
2.13246297836,0.653867006302,CO,4
2.1502430439,0.612895011902,CO,4
10.6140201092,0.27445101738,FHMM,8
10.5787210464,0.275635957718,FHMM,8
10.659662962,0.282302856445,FHMM,8
10.4262239933,0.273782968521,FHMM,8
10.4122178555,0.280931949615,FHMM,8
10.6349411011,0.275360107422,FHMM,8
10.321130991,0.285891056061,FHMM,8
10.5423829556,0.273816823959,FHMM,8
10.4748809338,0.27649307251,FHMM,8
10.4287590981,0.277885913849,FHMM,8
10.4289040565,0.273206949234,FHMM,8
10.4069697857,0.28044295311,FHMM,8
10.468832016,0.273412942886,FHMM,8
10.4131059647,0.272989034653,FHMM,8
10.4126820564,0.278351068497,FHMM,8
10.4982550144,0.273900985718,FHMM,8
10.4160969257,0.28040599823,FHMM,8
10.3864250183,0.277771949768,FHMM,8
10.520813942,0.276301860809,FHMM,8
10.2985839844,0.281407117844,FHMM,8
10.4511008263,0.274785041809,FHMM,8
10.3652319908,0.272621154785,FHMM,8
10.3700039387,0.273747205734,FHMM,8
10.3091869354,0.278067827225,FHMM,8
10.3799929619,0.276825904846,FHMM,8
10.4291958809,0.273442029953,FHMM,8
10.4865970612,0.278480052948,FHMM,8
10.6196739674,0.27415394783,FHMM,8
10.371762991,0.280278921127,FHMM,8
10.4825661182,0.275683879852,FHMM,8
1.37654089928,0.394932031631,CO,8
1.3682551384,0.396193027496,CO,8
1.3873758316,0.398699998856,CO,8
1.37828493118,0.395889997482,CO,8
1.36667299271,0.389260053635,CO,8
1.3784661293,0.409968137741,CO,8
1.37723493576,0.391942977905,CO,8
1.3701441288,0.395958900452,CO,8
1.37452292442,0.393758058548,CO,8
1.37942194939,0.388001203537,CO,8
1.3794529438,0.397438049316,CO,8
1.38640594482,0.391381025314,CO,8
1.37454009056,0.391571044922,CO,8
1.38277792931,0.395334005356,CO,8
1.3837621212,0.398895025253,CO,8
1.38416194916,0.394571065903,CO,8
1.3750538826,0.389263153076,CO,8
1.36788392067,0.391382932663,CO,8
1.36373782158,0.396924972534,CO,8
1.37827801704,0.406968832016,CO,8
1.38646793365,0.434934139252,CO,8
1.38895702362,0.433203935623,CO,8
1.39417910576,0.43564081192,CO,8
1.39149594307,0.43904709816,CO,8
1.39096403122,0.439268112183,CO,8
1.39349007607,0.442831993103,CO,8
1.38159894943,0.407465934753,CO,8
1.36393117905,0.410139799118,CO,8
1.40872311592,0.396310806274,CO,8
1.37822413445,0.391820907593,CO,8
6.1306540966,0.277083873749,FHMM,16
6.09791588783,0.276611089706,FHMM,16
6.16918587685,0.27037191391,FHMM,16
6.17146205902,0.270607948303,FHMM,16
6.1246240139,0.273289203644,FHMM,16
6.11381912231,0.278517007828,FHMM,16
6.1359398365,0.272302150726,FHMM,16
6.1414000988,0.271162986755,FHMM,16
6.11789822578,0.274333000183,FHMM,16
6.18590092659,0.272346973419,FHMM,16
6.10140299797,0.274609088898,FHMM,16
6.09873890877,0.271209001541,FHMM,16
6.12007284164,0.271280050278,FHMM,16
6.14533615112,0.274757146835,FHMM,16
6.14716506004,0.276663064957,FHMM,16
6.12456917763,0.287483930588,FHMM,16
6.11544203758,0.277321815491,FHMM,16
6.15308713913,0.269973993301,FHMM,16
6.06840705872,0.282359838486,FHMM,16
6.14447212219,0.279181957245,FHMM,16
6.12090015411,0.271523952484,FHMM,16
6.15331101418,0.269670009613,FHMM,16
6.10532903671,0.272942066193,FHMM,16
6.13892292976,0.275125980377,FHMM,16
6.11938214302,0.273803949356,FHMM,16
6.11374998093,0.272896051407,FHMM,16
6.15450501442,0.27631187439,FHMM,16
6.19826793671,0.271588087082,FHMM,16
6.13986611366,0.276744842529,FHMM,16
6.08672595024,0.271040916443,FHMM,16
1.42113900185,0.381808042526,CO,16
1.35842394829,0.365638017654,CO,16
1.35308599472,0.365925073624,CO,16
1.36381411552,0.36413192749,CO,16
1.3457710743,0.367415904999,CO,16
1.3741569519,0.366940975189,CO,16
1.36412215233,0.367198944092,CO,16
1.35242295265,0.377269983292,CO,16
1.3749089241,0.374866962433,CO,16
1.36889386177,0.372404098511,CO,16
1.35038590431,0.375385046005,CO,16
1.35938215256,0.369294166565,CO,16
1.35832905769,0.377675056458,CO,16
1.36754107475,0.367924928665,CO,16
1.35271716118,0.368918895721,CO,16
1.36839795113,0.368773937225,CO,16
1.3688750267,0.378564834595,CO,16
1.37037205696,0.376996040344,CO,16
1.37631702423,0.369890928268,CO,16
1.36392807961,0.371476888657,CO,16
1.41062402725,0.369879007339,CO,16
1.40950202942,0.373645067215,CO,16
1.36361813545,0.36878991127,CO,16
1.37276411057,0.374902009964,CO,16
1.39295005798,0.367078065872,CO,16
1.35199213028,0.384898900986,CO,16
1.40202999115,0.408147096634,CO,16
1.39047503471,0.391380786896,CO,16
1.38444519043,0.371595859528,CO,16
1.36533093452,0.382353067398,CO,16
3.60397601128,0.272433996201,FHMM,32
3.5536968708,0.271866083145,FHMM,32
3.56580591202,0.276546955109,FHMM,32
3.55867695808,0.274152994156,FHMM,32
3.53517222404,0.275161981583,FHMM,32
3.59073185921,0.277322053909,FHMM,32
3.54387593269,0.273780107498,FHMM,32
3.55475187302,0.273209095001,FHMM,32
3.57647705078,0.273931026459,FHMM,32
3.54312300682,0.272104024887,FHMM,32
3.56345915794,0.275406122208,FHMM,32
3.554251194,0.274262189865,FHMM,32
3.5674598217,0.271159172058,FHMM,32
3.57854580879,0.273288965225,FHMM,32
3.54430484772,0.274809122086,FHMM,32
3.54433703423,0.272137880325,FHMM,32
3.57237195969,0.276772022247,FHMM,32
3.55965304375,0.270352840424,FHMM,32
3.5902299881,0.271104097366,FHMM,32
3.59081482887,0.277470111847,FHMM,32
3.56737685204,0.27819609642,FHMM,32
3.55846786499,0.279743909836,FHMM,32
3.63377904892,0.27376294136,FHMM,32
3.55622291565,0.274151086807,FHMM,32
3.56914496422,0.271806001663,FHMM,32
3.58805298805,0.271516799927,FHMM,32
3.56928491592,0.276512861252,FHMM,32
3.59832715988,0.275233983994,FHMM,32
3.54675197601,0.272819042206,FHMM,32
3.6050388813,0.274519920349,FHMM,32
1.40269899368,0.358241081238,CO,32
1.3794131279,0.358932971954,CO,32
1.37269020081,0.358858823776,CO,32
1.36313295364,0.349900960922,CO,32
1.36637115479,0.368608951569,CO,32
1.37178206444,0.360608100891,CO,32
1.39509105682,0.372442960739,CO,32
1.38182115555,0.360431909561,CO,32
1.37924408913,0.360769033432,CO,32
1.37452888489,0.367969989777,CO,32
1.38330698013,0.358030796051,CO,32
1.36979699135,0.369910001755,CO,32
1.38207507133,0.356906890869,CO,32
1.36334085464,0.360406160355,CO,32
1.38866209984,0.365581035614,CO,32
1.38331103325,0.362207889557,CO,32
1.36094021797,0.359953165054,CO,32
1.37627005577,0.37020111084,CO,32
1.38935995102,0.366837024689,CO,32
1.40275192261,0.373283147812,CO,32
1.39187097549,0.369585990906,CO,32
1.37397909164,0.379811048508,CO,32
1.37551903725,0.359583854675,CO,32
1.38646697998,0.366228103638,CO,32
1.37361979485,0.367520093918,CO,32
1.43787288666,0.378507137299,CO,32
1.43477106094,0.366110086441,CO,32
1.43518686295,0.364013195038,CO,32
1.38105082512,0.377332210541,CO,32
1.38535690308,0.364742040634,CO,32
